pair,session,event_type,frequency,mean_signed_move_pips,mean_signed_for_event_ccy_pips,abs_mean_move_pips,direction_concordance_pct,dominant_direction_event_ccy,persistence_24h_avg_pct,trap_rate_pct,fundamental_hit_rate_pct,fundamental_match_count
GBPNZD,Asia,cb_rate_decision,6,43.40012868245443,-43.40012868245443,168.7002182006836,50.0,up,33.333333333333336,16.666666666666664,,0
GBPNZD,London,cb_rate_decision,2,-4.149675369262695,-4.149675369262695,85.15000343322754,50.0,up,54.16666666666667,0.0,,0
GBPNZD,NY,cot_release_neutral,4,-13.175010681152344,11.475086212158203,39.52503204345703,50.0,up,33.333333333333336,0.0,,0
GBPNZD,NY,cot_extreme_short,2,22.950172424316406,-22.950172424316406,29.74987030029297,50.0,up,100.0,0.0,,0
GBPNZD,Overlap,cb_rate_decision,1,150.79975128173828,150.79975128173828,150.79975128173828,100.0,up,95.83333333333334,0.0,,0
GBPUSD,London,us_claims,4,4.341006278991699,-4.341006278991699,55.47761917114258,50.0,up,36.458333333333336,0.0,25.0,4
GBPUSD,London,us_ppi,2,59.81862545013428,-59.81862545013428,59.81862545013428,100.0,down,22.916666666666664,0.0,50.0,2
GBPUSD,London,us_cpi,1,51.68795585632324,-51.68795585632324,51.68795585632324,100.0,down,16.666666666666664,0.0,0.0,1
GBPUSD,London,us_core_cpi,1,51.68795585632324,-51.68795585632324,51.68795585632324,100.0,down,16.666666666666664,0.0,0.0,1
GBPUSD,London,us_gdp,1,-53.702592849731445,53.702592849731445,53.702592849731445,100.0,up,100.0,0.0,100.0,1
GBPUSD,London,us_refunding,1,-53.702592849731445,53.702592849731445,53.702592849731445,100.0,up,100.0,0.0,,0
GBPUSD,London,us_nfp,1,77.69942283630371,-77.69942283630371,77.69942283630371,100.0,down,0.0,100.0,0.0,1
GBPUSD,London,us_unrate,1,77.69942283630371,-77.69942283630371,77.69942283630371,100.0,down,0.0,100.0,0.0,1
GBPUSD,London,cb_rate_decision,1,-38.28167915344238,-38.28167915344238,38.28167915344238,100.0,down,87.5,0.0,,0
GBPUSD,NY,cb_rate_decision,6,-29.059449831644695,29.059449831644695,43.63636175791422,83.33333333333334,up,50.0,0.0,,0
GBPUSD,NY,cb_press_conference,6,-29.059449831644695,29.059449831644695,43.63636175791422,83.33333333333334,up,50.0,0.0,,0
GBPUSD,NY,cot_release_neutral,2,42.4426794052124,42.4426794052124,42.4426794052124,100.0,up,100.0,0.0,,0
GBPUSD,NY,geo_inauguration,1,-26.797056198120117,26.797056198120117,26.797056198120117,100.0,up,79.16666666666666,0.0,,0
GBPUSD,Overlap,us_claims,8,8.276104927062988,-8.276104927062988,45.17674446105957,50.0,up,70.3125,12.5,75.0,8
GBPUSD,Overlap,cb_rate_decision,2,30.000805854797363,30.000805854797363,38.4289026260376,50.0,up,91.66666666666667,0.0,,0
GBPUSD,Overlap,us_pce,2,21.247267723083496,-21.247267723083496,43.160319328308105,50.0,up,50.0,50.0,50.0,2
GBPUSD,Overlap,us_core_pce,2,21.247267723083496,-21.247267723083496,43.160319328308105,50.0,up,50.0,50.0,50.0,2
GBPUSD,Overlap,us_gdp,1,-20.197629928588867,20.197629928588867,20.197629928588867,100.0,up,70.83333333333334,100.0,100.0,1
GBPUSD,Overlap,us_nfp,1,70.53971290588379,-70.53971290588379,70.53971290588379,100.0,down,33.33333333333333,0.0,100.0,1
GBPUSD,Overlap,us_unrate,1,70.53971290588379,-70.53971290588379,70.53971290588379,100.0,down,33.33333333333333,0.0,0.0,1
NZDCAD,Asia,cb_rate_decision,6,-12.999971707661947,-12.999971707661947,60.76673666636149,50.0,up,37.5,0.0,,0
NZDCAD,NY,cot_release_neutral,5,-30.680060386657715,3.9600133895874023,30.680060386657715,60.0,up,41.66666666666667,20.0,,0
