t,sym,dir,score,why,win,month
2025-08-22 20:00:00+00:00,USDCHF,BUY,3.7820279717580085,низ диапазона,True,2025-08
2025-08-25 00:00:00+00:00,NZDUSD,SELL,1.8788803019992866,RSI перекупленность,False,2025-08
2025-08-25 15:00:00+00:00,EURUSD,BUY,2.574310230372123,низ диапазона,False,2025-08
2025-08-25 20:00:00+00:00,EURUSD,BUY,3.62135185448059,низ диапазона,True,2025-08
2025-08-26 00:00:00+00:00,EURJPY,BUY,3.7364223615874406,низ диапазона,True,2025-08
2025-08-26 15:00:00+00:00,USDCAD,BUY,2.4288123623255533,низ диапазона,True,2025-08
2025-08-26 20:00:00+00:00,USDCHF,BUY,3.1502954618307886,низ диапазона,True,2025-08
2025-08-27 05:00:00+00:00,NZDUSD,BUY,3.2253740247748173,низ диапазона,False,2025-08
2025-08-27 10:00:00+00:00,NZDUSD,BUY,4.637494624419636,низ диапазона,True,2025-08
2025-08-27 20:00:00+00:00,USDCHF,BUY,2.7596053900187076,низ диапазона,False,2025-08
2025-08-28 00:00:00+00:00,USDCHF,BUY,4.320402335607393,низ диапазона,False,2025-08
2025-08-28 05:00:00+00:00,USDJPY,BUY,2.920812494770991,низ диапазона,False,2025-08
2025-08-28 10:00:00+00:00,USDCHF,BUY,3.53595081843312,низ диапазона,True,2025-08
2025-08-28 15:00:00+00:00,USDCAD,BUY,2.1431427151992417,низ диапазона,False,2025-08
2025-08-28 20:00:00+00:00,USDCAD,BUY,1.317618493601092,RSI перепроданность,False,2025-08
2025-08-29 00:00:00+00:00,USDCAD,BUY,0.8109926311093631,низ диапазона,True,2025-08
2025-08-29 10:00:00+00:00,GBPUSD,BUY,4.0687497429156565,низ диапазона,True,2025-08
2025-08-29 15:00:00+00:00,USDCAD,BUY,1.895670320086987,низ диапазона,True,2025-08
2025-09-01 00:00:00+00:00,EURJPY,SELL,1.5808460100559318,верх диапазона + тренд вниз,True,2025-09
2025-09-01 15:00:00+00:00,USDCAD,SELL,0.17815434262242008,верх диапазона + тренд вниз,True,2025-09
2025-09-02 00:00:00+00:00,EURUSD,BUY,1.734333166924858,низ диапазона,False,2025-09
2025-09-02 05:00:00+00:00,GBPUSD,BUY,3.908349788489253,низ диапазона,False,2025-09
