time,sym,dir,conf,month,forced,win_yahoo,win_histdata
2025-07-24 18:00:00+00:00,NZDJPY,-1,0.15186988974874638,2025-07,False,True,True
2025-07-24 20:00:00+00:00,GBPCAD,1,0.2239608452075187,2025-07,False,True,True
2025-07-24 21:00:00+00:00,EURGBP,1,0.2646670513322895,2025-07,False,True,True
2025-07-25 18:00:00+00:00,NZDCAD,-1,0.15666573851006393,2025-07,False,True,True
2025-07-25 20:00:00+00:00,GBPCAD,1,0.22559650726121616,2025-07,True,True,
2025-07-25 21:00:00+00:00,AUDCHF,1,0.14714850893048337,2025-07,True,True,
2025-07-28 00:00:00+00:00,NZDUSD,1,0.13771649369178018,2025-07,False,False,False
2025-07-28 03:00:00+00:00,NZDUSD,1,0.1429220899895588,2025-07,False,False,False
2025-07-28 04:00:00+00:00,NZDUSD,1,0.1426576988647016,2025-07,False,False,False
2025-07-29 00:00:00+00:00,NZDUSD,1,0.19720979716124687,2025-07,False,True,True
2025-07-29 01:00:00+00:00,GBPUSD,1,0.18702884971490707,2025-07,False,True,True
2025-07-29 02:00:00+00:00,GBPJPY,1,0.18256382847755204,2025-07,False,False,False
2025-07-30 19:00:00+00:00,USDCAD,-1,0.14527932400919957,2025-07,False,True,True
2025-07-30 20:00:00+00:00,EURGBP,1,0.20527773576748487,2025-07,False,True,True
2025-07-30 21:00:00+00:00,EURUSD,1,0.16659992648019772,2025-07,False,True,True
2025-07-31 18:00:00+00:00,GBPNZD,-1,0.14227019046814532,2025-07,False,True,True
2025-07-31 20:00:00+00:00,NZDCHF,1,0.22751579078328277,2025-07,False,True,True
2025-07-31 21:00:00+00:00,GBPAUD,1,0.15813411789712417,2025-07,False,True,True
2025-08-01 14:00:00+00:00,USDCHF,-1,0.15586032139055966,2025-08,False,False,False
2025-08-01 15:00:00+00:00,CADJPY,-1,0.17426988051796533,2025-08,False,True,True
2025-08-01 16:00:00+00:00,USDCAD,-1,0.16547138185614968,2025-08,False,False,False
2025-08-04 18:00:00+00:00,USDCAD,-1,0.14253985061095242,2025-08,False,True,True
2025-08-04 20:00:00+00:00,EURCHF,1,0.1970220364965839,2025-08,False,True,True
2025-08-04 21:00:00+00:00,EURGBP,1,0.23944201168583035,2025-08,False,False,False
2025-08-05 18:00:00+00:00,EURNZD,-1,0.16685349168595925,2025-08,False,True,True
2025-08-05 19:00:00+00:00,CHFJPY,-1,0.12736359453143947,2025-08,False,True,True
2025-08-05 20:00:00+00:00,EURGBP,1,0.21604675697780373,2025-08,False,True,True
2025-08-06 17:00:00+00:00,GBPCHF,-1,0.13249343750230075,2025-08,False,True,True
2025-08-06 18:00:00+00:00,EURAUD,-1,0.17525045995281857,2025-08,False,True,True
2025-08-06 20:00:00+00:00,GBPAUD,1,0.1714042276233657,2025-08,False,True,True
2025-08-07 18:00:00+00:00,USDCHF,-1,0.1732367249673012,2025-08,False,True,True
2025-08-07 20:00:00+00:00,GBPAUD,1,0.16274420982126414,2025-08,False,True,True
2025-08-07 21:00:00+00:00,EURNZD,1,0.16711650377952336,2025-08,False,True,True
2025-08-08 18:00:00+00:00,AUDCAD,-1,0.16543714752624183,2025-08,False,True,True
2025-08-08 19:00:00+00:00,USDCHF,-1,0.12643919753936128,2025-08,False,True,
2025-08-08 20:00:00+00:00,AUDNZD,1,0.20817927596875596,2025-08,False,True,
2025-08-11 01:00:00+00:00,EURJPY,1,0.1370351066967449,2025-08,False,True,True
2025-08-11 02:00:00+00:00,EURJPY,1,0.14492446369306322,2025-08,False,True,True
2025-08-11 03:00:00+00:00,EURJPY,1,0.14865864275373775,2025-08,False,True,True
2025-08-12 18:00:00+00:00,EURGBP,-1,0.1434340166981109,2025-08,False,True,True
2025-08-12 20:00:00+00:00,EURGBP,1,0.1713162304628959,2025-08,False,True,True
2025-08-12 21:00:00+00:00,EURCHF,1,0.19934862468588055,2025-08,False,True,True
2025-08-13 18:00:00+00:00,GBPCHF,-1,0.17075206069281335,2025-08,False,True,True
2025-08-13 19:00:00+00:00,GBPCHF,-1,0.1453843069795358,2025-08,False,False,False
2025-08-13 20:00:00+00:00,USDCHF,1,0.18467831257531486,2025-08,False,True,True
2025-08-14 18:00:00+00:00,EURNZD,-1,0.14517918390400808,2025-08,False,True,True
2025-08-14 20:00:00+00:00,EURGBP,1,0.20016096866617272,2025-08,False,True,True
2025-08-14 21:00:00+00:00,GBPCAD,1,0.2125830892322812,2025-08,False,True,True
2025-08-15 18:00:00+00:00,EURAUD,-1,0.15738625128510747,2025-08,False,True,True
2025-08-15 19:00:00+00:00,GBPCHF,-1,0.13066990088878,2025-08,False,True,
2025-08-15 20:00:00+00:00,NZDCHF,1,0.15346652281201778,2025-08,False,True,
