t,month,win,conf
2025-10-31 05:00:00+00:00,2025-10,True,0.023706529497081297
2025-10-31 10:00:00+00:00,2025-10,True,0.026085523867263816
2025-10-31 15:00:00+00:00,2025-10,False,0.017686145306191392
2025-10-31 20:00:00+00:00,2025-10,False,0.054826352037389614
2025-11-03 00:00:00+00:00,2025-11,False,0.04162659595307239
2025-11-03 05:00:00+00:00,2025-11,False,0.031330521745065454
2025-11-03 10:00:00+00:00,2025-11,True,0.05070344124125392
2025-11-03 15:00:00+00:00,2025-11,True,0.028749634780657396
2025-11-03 20:00:00+00:00,2025-11,False,0.03739492590707194
2025-11-04 00:00:00+00:00,2025-11,False,0.048307859929170194
2025-11-04 05:00:00+00:00,2025-11,False,0.064870742482944
2025-11-04 10:00:00+00:00,2025-11,False,0.0898563955248306
2025-11-04 15:00:00+00:00,2025-11,False,0.039319728282142585
2025-11-04 20:00:00+00:00,2025-11,False,0.11212784951022947
2025-11-05 00:00:00+00:00,2025-11,True,0.10906922317342271
2025-11-05 05:00:00+00:00,2025-11,True,0.04000622808486887
2025-11-05 10:00:00+00:00,2025-11,True,0.026410535981148398
2025-11-05 15:00:00+00:00,2025-11,False,0.025448419951626056
2025-11-05 20:00:00+00:00,2025-11,False,0.026953752801640085
2025-11-06 00:00:00+00:00,2025-11,False,0.03366753184474902
2025-11-06 05:00:00+00:00,2025-11,False,0.043175257242511256
2025-11-06 10:00:00+00:00,2025-11,True,0.03862868783691764
2025-11-06 15:00:00+00:00,2025-11,True,0.0648226994374893
2025-11-06 20:00:00+00:00,2025-11,False,0.04777670513920307
2025-11-07 00:00:00+00:00,2025-11,False,0.03593245320921723
2025-11-07 05:00:00+00:00,2025-11,True,0.03280282049092498
2025-11-07 10:00:00+00:00,2025-11,True,0.039387977684351205
2025-11-07 15:00:00+00:00,2025-11,True,0.047949911871210005
2025-11-07 20:00:00+00:00,2025-11,False,0.02425415527309921
2025-11-10 00:00:00+00:00,2025-11,True,0.038755275473940975
2025-11-10 05:00:00+00:00,2025-11,False,0.04185830984453098
2025-11-10 10:00:00+00:00,2025-11,True,0.0523635109440328
2025-11-10 15:00:00+00:00,2025-11,True,0.0520696145550289
2025-11-10 20:00:00+00:00,2025-11,True,0.056229212235203496
2025-11-11 00:00:00+00:00,2025-11,True,0.01777700906547841
2025-11-11 05:00:00+00:00,2025-11,False,0.04617559585255726
2025-11-11 10:00:00+00:00,2025-11,True,0.031099540068510567
2025-11-11 15:00:00+00:00,2025-11,True,0.025774929492303755
2025-11-11 20:00:00+00:00,2025-11,True,0.04969721436750607
2025-11-12 00:00:00+00:00,2025-11,False,0.023397813210133678
2025-11-12 05:00:00+00:00,2025-11,False,0.03581603730250971
2025-11-12 10:00:00+00:00,2025-11,False,0.05916410588508558
2025-11-12 15:00:00+00:00,2025-11,False,0.04109722752419642
2025-11-12 20:00:00+00:00,2025-11,False,0.03775031640330273
2025-11-13 00:00:00+00:00,2025-11,False,0.02496406626252523
2025-11-13 05:00:00+00:00,2025-11,True,0.04392718022072073
2025-11-13 10:00:00+00:00,2025-11,False,0.08119160013253746
2025-11-13 15:00:00+00:00,2025-11,False,0.04570747055665492
2025-11-13 20:00:00+00:00,2025-11,True,0.04799658010335284
2025-11-14 00:00:00+00:00,2025-11,True,0.05616385460776302
2025-11-14 05:00:00+00:00,2025-11,True,0.04531117358420639
2025-11-14 10:00:00+00:00,2025-11,False,0.028292604051436077
2025-11-14 15:00:00+00:00,2025-11,False,0.0927595177803282
2025-11-14 20:00:00+00:00,2025-11,True,0.0933955045152911
2025-11-17 00:00:00+00:00,2025-11,False,0.04037654031938409
2025-11-17 05:00:00+00:00,2025-11,True,0.044625261331213584
2025-11-17 10:00:00+00:00,2025-11,False,0.03928348926228753
2025-11-17 15:00:00+00:00,2025-11,True,0.06762625238771547
2025-11-17 20:00:00+00:00,2025-11,False,0.027654939225625785
2025-11-18 00:00:00+00:00,2025-11,False,0.05522128673778037
2025-11-18 05:00:00+00:00,2025-11,True,0.01588930162863955
2025-11-18 10:00:00+00:00,2025-11,False,0.03298180355538949
2025-11-18 15:00:00+00:00,2025-11,True,0.04784797796389051
2025-11-18 20:00:00+00:00,2025-11,True,0.04266473945687077
2025-11-19 00:00:00+00:00,2025-11,True,0.029938820524522347
2025-11-19 05:00:00+00:00,2025-11,True,0.038130505308965223
2025-11-19 10:00:00+00:00,2025-11,False,0.0613841479311007
2025-11-19 15:00:00+00:00,2025-11,True,0.03157953604839714
2025-11-19 20:00:00+00:00,2025-11,True,0.09740230537178263
